Source,Target,Weight,label_source,id_source,x_source,y_source,label_target,id_target,x_target,y_target
3664,3531,9,Alexander-Arnold,3664,82,10,Salah,3531,45,20
3655,3531,3,Robertson,3655,82,70,Salah,3531,45,20
3532,3531,3,Henderson,3532,72,25,Salah,3531,45,20
3502,3531,1,Matip,3502,90,30,Salah,3531,45,20
3669,3531,2,Van Dijk,3669,90,50,Salah,3531,45,20
3629,3531,2,Mané,3629,45,60,Salah,3531,45,20
3247,3531,1,Fabinho,3247,75,40,Salah,3531,45,20
3535,3531,3,Firmino,3535,55,40,Salah,3531,45,20
3567,3531,1,Wijnaldum,3567,72,55,Salah,3531,45,20
3664,3532,6,Alexander-Arnold,3664,82,10,Henderson,3532,72,25
3655,3532,1,Robertson,3655,82,70,Henderson,3532,72,25
3669,3532,1,Van Dijk,3669,90,50,Henderson,3532,72,25
3629,3532,2,Mané,3629,45,60,Henderson,3532,72,25
3247,3532,2,Fabinho,3247,75,40,Henderson,3532,72,25
3535,3532,1,Firmino,3535,55,40,Henderson,3532,72,25
3531,3532,1,Salah,3531,45,20,Henderson,3532,72,25
3567,3532,1,Wijnaldum,3567,72,55,Henderson,3532,72,25
3664,3629,3,Alexander-Arnold,3664,82,10,Mané,3629,45,60
5547,3629,1,Alisson,5547,112,40,Mané,3629,45,60
3655,3629,6,Robertson,3655,82,70,Mané,3629,45,60
3532,3629,5,Henderson,3532,72,25,Mané,3629,45,60
3502,3629,3,Matip,3502,90,30,Mané,3629,45,60
3669,3629,1,Van Dijk,3669,90,50,Mané,3629,45,60
3247,3629,2,Fabinho,3247,75,40,Mané,3629,45,60
3535,3629,1,Firmino,3535,55,40,Mané,3629,45,60
3531,3629,3,Salah,3531,45,20,Mané,3629,45,60
3567,3629,1,Wijnaldum,3567,72,55,Mané,3629,45,60
3664,3669,3,Alexander-Arnold,3664,82,10,Van Dijk,3669,90,50
5547,3669,6,Alisson,5547,112,40,Van Dijk,3669,90,50
3655,3669,3,Robertson,3655,82,70,Van Dijk,3669,90,50
3532,3669,1,Henderson,3532,72,25,Van Dijk,3669,90,50
3502,3669,5,Matip,3502,90,30,Van Dijk,3669,90,50
3664,3535,1,Alexander-Arnold,3664,82,10,Firmino,3535,55,40
3655,3535,6,Robertson,3655,82,70,Firmino,3535,55,40
3532,3535,2,Henderson,3532,72,25,Firmino,3535,55,40
3502,3535,1,Matip,3502,90,30,Firmino,3535,55,40
3629,3535,2,Mané,3629,45,60,Firmino,3535,55,40
3247,3535,3,Fabinho,3247,75,40,Firmino,3535,55,40
3531,3535,3,Salah,3531,45,20,Firmino,3535,55,40
3664,3567,1,Alexander-Arnold,3664,82,10,Wijnaldum,3567,72,55
3655,3567,4,Robertson,3655,82,70,Wijnaldum,3567,72,55
3669,3567,2,Van Dijk,3669,90,50,Wijnaldum,3567,72,55
3629,3567,2,Mané,3629,45,60,Wijnaldum,3567,72,55
3531,3567,1,Salah,3531,45,20,Wijnaldum,3567,72,55
3664,5547,1,Alexander-Arnold,3664,82,10,Alisson,5547,112,40
3655,5547,2,Robertson,3655,82,70,Alisson,5547,112,40
3502,5547,1,Matip,3502,90,30,Alisson,5547,112,40
3669,5547,4,Van Dijk,3669,90,50,Alisson,5547,112,40
3247,5547,1,Fabinho,3247,75,40,Alisson,5547,112,40
3664,3502,1,Alexander-Arnold,3664,82,10,Matip,3502,90,30
5547,3502,3,Alisson,5547,112,40,Matip,3502,90,30
3532,3502,1,Henderson,3532,72,25,Matip,3502,90,30
3669,3502,4,Van Dijk,3669,90,50,Matip,3502,90,30
3247,3502,1,Fabinho,3247,75,40,Matip,3502,90,30
5547,3655,3,Alisson,5547,112,40,Robertson,3655,82,70
3532,3655,2,Henderson,3532,72,25,Robertson,3655,82,70
3502,3655,1,Matip,3502,90,30,Robertson,3655,82,70
3669,3655,4,Van Dijk,3669,90,50,Robertson,3655,82,70
3629,3655,3,Mané,3629,45,60,Robertson,3655,82,70
3247,3655,1,Fabinho,3247,75,40,Robertson,3655,82,70
3535,3655,1,Firmino,3535,55,40,Robertson,3655,82,70
3567,3655,2,Wijnaldum,3567,72,55,Robertson,3655,82,70
5547,3247,2,Alisson,5547,112,40,Fabinho,3247,75,40
3655,3247,1,Robertson,3655,82,70,Fabinho,3247,75,40
3532,3247,1,Henderson,3532,72,25,Fabinho,3247,75,40
3502,3247,2,Matip,3502,90,30,Fabinho,3247,75,40
3567,3247,1,Wijnaldum,3567,72,55,Fabinho,3247,75,40
3532,3664,2,Henderson,3532,72,25,Alexander-Arnold,3664,82,10
3502,3664,2,Matip,3502,90,30,Alexander-Arnold,3664,82,10
3669,3664,1,Van Dijk,3669,90,50,Alexander-Arnold,3664,82,10
3247,3664,1,Fabinho,3247,75,40,Alexander-Arnold,3664,82,10
3531,3664,2,Salah,3531,45,20,Alexander-Arnold,3664,82,10
3567,3664,2,Wijnaldum,3567,72,55,Alexander-Arnold,3664,82,10
