Source,Target,Weight,label_source,id_source,x_source,y_source,label_target,id_target,x_target,y_target
3077,20005,18,Vertonghen,3077,30,30,Alderweireld,20005,30,50
3308,20005,3,Trippier,3308,40,70,Alderweireld,20005,30,50
3099,20005,8,Lloris,3099,8,40,Alderweireld,20005,30,50
3082,20005,4,Winks,3082,47,55,Alderweireld,20005,30,50
3043,20005,1,Eriksen,3043,57,40,Alderweireld,20005,30,50
3091,20005,3,Sissoko,3091,47,25,Alderweireld,20005,30,50
3083,20005,1,Son,3083,68,20,Alderweireld,20005,30,50
3077,3594,6,Vertonghen,3077,30,30,Rose,3594,40,10
20005,3594,4,Alderweireld,20005,30,50,Rose,3594,40,10
3099,3594,1,Lloris,3099,8,40,Rose,3594,40,10
3082,3594,4,Winks,3082,47,55,Rose,3594,40,10
3094,3594,1,Alli,3094,65,60,Rose,3594,40,10
3043,3594,1,Eriksen,3043,57,40,Rose,3594,40,10
3091,3594,1,Sissoko,3091,47,25,Rose,3594,40,10
3077,3099,6,Vertonghen,3077,30,30,Lloris,3099,8,40
20005,3099,6,Alderweireld,20005,30,50,Lloris,3099,8,40
3308,3099,3,Trippier,3308,40,70,Lloris,3099,8,40
3082,3099,1,Winks,3082,47,55,Lloris,3099,8,40
3594,3099,2,Rose,3594,40,10,Lloris,3099,8,40
3091,3099,4,Sissoko,3091,47,25,Lloris,3099,8,40
3077,3082,5,Vertonghen,3077,30,30,Winks,3082,47,55
20005,3082,3,Alderweireld,20005,30,50,Winks,3082,47,55
3308,3082,6,Trippier,3308,40,70,Winks,3082,47,55
3099,3082,1,Lloris,3099,8,40,Winks,3082,47,55
3594,3082,4,Rose,3594,40,10,Winks,3082,47,55
3094,3082,3,Alli,3094,65,60,Winks,3082,47,55
3043,3082,2,Eriksen,3043,57,40,Winks,3082,47,55
3091,3082,3,Sissoko,3091,47,25,Winks,3082,47,55
10955,3082,1,Kane,10955,75,40,Winks,3082,47,55
3077,3083,2,Vertonghen,3077,30,30,Son,3083,68,20
20005,3083,1,Alderweireld,20005,30,50,Son,3083,68,20
3099,3083,2,Lloris,3099,8,40,Son,3083,68,20
3082,3083,1,Winks,3082,47,55,Son,3083,68,20
3594,3083,6,Rose,3594,40,10,Son,3083,68,20
3094,3083,6,Alli,3094,65,60,Son,3083,68,20
3043,3083,4,Eriksen,3043,57,40,Son,3083,68,20
3091,3083,2,Sissoko,3091,47,25,Son,3083,68,20
3077,3091,2,Vertonghen,3077,30,30,Sissoko,3091,47,25
20005,3091,2,Alderweireld,20005,30,50,Sissoko,3091,47,25
3308,3091,5,Trippier,3308,40,70,Sissoko,3091,47,25
3099,3091,2,Lloris,3099,8,40,Sissoko,3091,47,25
3082,3091,5,Winks,3082,47,55,Sissoko,3091,47,25
3594,3091,1,Rose,3594,40,10,Sissoko,3091,47,25
3094,3091,1,Alli,3094,65,60,Sissoko,3091,47,25
3043,3091,2,Eriksen,3043,57,40,Sissoko,3091,47,25
3083,3091,1,Son,3083,68,20,Sissoko,3091,47,25
3077,3094,1,Vertonghen,3077,30,30,Alli,3094,65,60
20005,3094,3,Alderweireld,20005,30,50,Alli,3094,65,60
3308,3094,2,Trippier,3308,40,70,Alli,3094,65,60
3082,3094,8,Winks,3082,47,55,Alli,3094,65,60
3594,3094,4,Rose,3594,40,10,Alli,3094,65,60
3043,3094,3,Eriksen,3043,57,40,Alli,3094,65,60
3091,3094,3,Sissoko,3091,47,25,Alli,3094,65,60
3083,3094,3,Son,3083,68,20,Alli,3094,65,60
10955,3094,2,Kane,10955,75,40,Alli,3094,65,60
3077,3308,1,Vertonghen,3077,30,30,Trippier,3308,40,70
20005,3308,8,Alderweireld,20005,30,50,Trippier,3308,40,70
3099,3308,2,Lloris,3099,8,40,Trippier,3308,40,70
3082,3308,6,Winks,3082,47,55,Trippier,3308,40,70
3094,3308,1,Alli,3094,65,60,Trippier,3308,40,70
3043,3308,1,Eriksen,3043,57,40,Trippier,3308,40,70
3091,3308,2,Sissoko,3091,47,25,Trippier,3308,40,70
20005,3077,15,Alderweireld,20005,30,50,Vertonghen,3077,30,30
3308,3077,2,Trippier,3308,40,70,Vertonghen,3077,30,30
3099,3077,6,Lloris,3099,8,40,Vertonghen,3077,30,30
3082,3077,2,Winks,3082,47,55,Vertonghen,3077,30,30
3594,3077,6,Rose,3594,40,10,Vertonghen,3077,30,30
3091,3077,3,Sissoko,3091,47,25,Vertonghen,3077,30,30
3083,3077,3,Son,3083,68,20,Vertonghen,3077,30,30
20005,10955,1,Alderweireld,20005,30,50,Kane,10955,75,40
3308,10955,7,Trippier,3308,40,70,Kane,10955,75,40
3099,10955,2,Lloris,3099,8,40,Kane,10955,75,40
3082,10955,2,Winks,3082,47,55,Kane,10955,75,40
3594,10955,2,Rose,3594,40,10,Kane,10955,75,40
3094,10955,1,Alli,3094,65,60,Kane,10955,75,40
3043,10955,5,Eriksen,3043,57,40,Kane,10955,75,40
3083,10955,1,Son,3083,68,20,Kane,10955,75,40
3308,3043,8,Trippier,3308,40,70,Eriksen,3043,57,40
3099,3043,2,Lloris,3099,8,40,Eriksen,3043,57,40
3082,3043,1,Winks,3082,47,55,Eriksen,3043,57,40
3094,3043,6,Alli,3094,65,60,Eriksen,3043,57,40
3091,3043,3,Sissoko,3091,47,25,Eriksen,3043,57,40
3083,3043,1,Son,3083,68,20,Eriksen,3043,57,40
10955,3043,2,Kane,10955,75,40,Eriksen,3043,57,40
