label,id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,pageranks,clustering,eigencentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,positions,pao,ole,triangles, nodesize,x,y,nodesize
Trippier,3308,Trippier,,7,8,15,252.5,1151.3157894736842,810.9090909090909,2,853.57072602091,0.9,310.0307552022712,0,0,0,181.82088487155102,510.98046687728134,526.4366434239001,0.018946,742.0389426335572,444.31922723091077,defender,,,24,400,40,70,400
Sissoko,3091,Sissoko,,9,9,18,252.5,725.0,516.3636363636364,2,1101.9485628938837,0.95,655.3539019338267,0,0,0,288.8751784015223,741.4707003159228,1302.2321070770217,0.035441,290.27820568118796,737.1090156393745,mid,,,32,400,47,25,400
Alderweireld,20005,Alderweireld,,7,9,16,1400.0,1400.0,1400.0,2,1101.9485628938837,0.95,362.6460329338609,0,0,1,974.1511060894388,603.1831983183563,473.25478881141305,0.021459,269.6207406494548,316.3983440662375,defender,,,39,400,30,50,400
Kane,10955,Kane,,8,3,11,252.5,50.0,50.0,2,50.0,0.65,50.0,0,0,0,407.26911869647955,510.98046687728134,898.4771980444018,0.006526,1400.0,50.0,forward,,,25,400,75,40,400
Eriksen,3043,Eriksen,,7,8,15,387.5,547.3684210526316,442.7272727272727,2,853.57072602091,0.9,639.5690859989479,0,0,2,1039.178460989534,510.98046687728134,630.1354492265772,0.034687,518.2035245548093,892.0423183072678,mid,,,32,400,57,40,400
Vertonghen,3077,Vertonghen,,7,8,15,1332.5,1328.9473684210525,1326.3636363636363,2,853.57072602091,0.9,308.09213844372715,0,0,1,1054.6927033777356,1400.0,461.6935160695679,0.018854,793.0032657588267,462.32750689972414,defender,,,25,400,30,30,400
Winks,3082,Winks,,9,10,19,725.0,1080.2631578947369,933.6363636363636,1,1400.0,1.0,1400.0,0,0,0,824.6082599904855,50.0,1297.6837380780635,0.07101,50.0,1400.0,mid,,,39,400,47,55,400
Alli,3094,Alli,,9,7,16,792.5000000000001,547.3684210526316,590.0,2,643.4078904229355,0.85,641.4153544429801,0,0,2,1400.0,280.49023343863973,1400.0,0.034775,412.0186086635037,812.557497700092,forward,,,31,400,65,60,400
Rose,3594,Rose,,7,7,14,50.0,760.5263157894736,467.27272727272725,2,643.4078904229355,0.85,191.50762521902465,0,0,2,50.0,741.4707003159228,526.4366434239001,0.013285,641.3719267977077,190.65087396504143,defender,,,32,400,40,10,400
Lloris,3099,Lloris,,6,9,15,320.0,796.0526315789474,590.0,2,1101.9485628938837,0.95,245.9691713946465,0,0,1,65.51424238820164,280.49023343863973,50.0,0.015886,507.5836465586296,240.01839926402948,keeper,,,31,400,8,40,400
Son,3083,Son,,8,6,14,455.0,227.6315789473684,246.36363636363635,2,463.2669119522058,0.8,290.64598330924184,0,0,2,805.1401938629879,741.4707003159228,938.1301594934681,0.01802,641.3719267977077,367.0078196872126,forward,,,32,400,68,20,400
